ID,Name,First Air Date,Overview,Popularity,Vote Average,Vote Count,Poster_URL,Backdrop_URL,Genres,Age_Rating,Keywords,Director
115337,Moonlight Mask,2/24/1958,"Moonlight Mask (aka Gekko Kamen), is a black and white tokusatsu TV drama series, produced by the advertising agency Senkosha and was aired on KRTV (now TBS) from February 24, 1958 to July 5, 1959, with a total of 130 (or 131) episodes, divided into 5 segments.  Since the original show, Gekko Kamen has gained the popularity of being the first Japanese live action television superhero, appearing in films and TV shows well past the length of the original series.",3.077,0,0,https://image.tmdb.org/t/p/w500/1plFS6wshk8MMh6ypci5SKccQlj.jpg,,"Action & Adventure, Sci-Fi & Fantasy, Drama, Family, Mystery",,"japan, detective, mask, superhero, motorcycle, kaiju, science fiction, tokusatsu","K?han Kawauchi, Tsuneo Kobayashi, Hideo Hashi"
203521,Tetsuwan Atom,3/7/1959,"Mighty Atom (鉄腕アトム Testuwan Atomu?) is a Japanese Tokusatsu TV show that was created by MBS Productions and had aired on MBS. It was the first adaptation of Mighty Atom (a.k.a. Astro Boy), which pre-dates the 1963 Mighty Atom anime television show.",1.1273,4,1,https://image.tmdb.org/t/p/w500/heSX9gxhlNa1svAcAMnuyl6R962.jpg,,Sci-Fi & Fantasy,,"android, based on manga, tokusatsu","Osamu Tezuka, Hiroshi Yoshikawa, Seika Shiba"
4766,Ultra Q,1/2/1966,"As supernatural events and monster attacks rock Japan, the military and government look to be overwhelmed. Three intrepid young investigators—two pilots and a reporter—take it upon themselves to study these unexplained phenomena in order to inform and protect the public.  With allies and science aiding them on their journey, the trio must separate myth from history as they explore the greater mysteries of these occurrences: are they unrelated, or is this barrage somehow a portent of even worse things to come?",2.034,8.2,20,https://image.tmdb.org/t/p/w500/jcPwG0aneLwZ0dszjwIppSFCYL4.jpg,https://image.tmdb.org/t/p/w780/zzPy9SQyxlXugE1gQZ4ZrAFU8wk.jpg,Mystery,PG,"monster, supernatural, alien, episodic, kaiju, ghost, ultraman, tokusatsu","Tetsuo Kinjo, Hajime Sat�, Seika Shiba"
3425,Ultraman,7/17/1966,"Hayata is a member of the Science Patrol, an organization tasked with investigating bizarre anomalies. He is mortally wounded when accidently encountering an alien being from Land of Light, who grants Hayata new life as the two are merged into one. Now, whenever a threat arises that is too great for the Science Patrol to handle, Hayata activates the beta capsule and becomes the hero known as Ultraman.",7.2453,8.4,52,https://image.tmdb.org/t/p/w500/7BanECmWCduOuJ5LzCjY93IdyPU.jpg,https://image.tmdb.org/t/p/w780/nQViCFfoObO5Xs8oHVjyfF4rHeL.jpg,"Action & Adventure, Sci-Fi & Fantasy, Mystery",TV-PG,"japan, martial arts, hero, villain, investigation, friendship, superhero, extraterrestrial, alien, disaster, giant monster, alien invasion, fighting, super power, kaiju, hidden identity, giant, supervillain, anomaly, organization, kyodai hero, ultraman, teamwork, henshin heroes, tokusatsu","Tetsuo Kinjo, Hajime Sat�, Seika Shiba"
13309,Space Tokusatsu Series: Captain Ultra,4/16/1967,"Loosely based on Captain Future, by Edmond Hamilton.",0.5138,6,1,https://image.tmdb.org/t/p/w500/aJVSBVAsWPOn84M2Ueux5X7eL7a.jpg,,"Sci-Fi & Fantasy, Kids",,tokusatsu,"Susumu Takaku, Hajime Sat�, Hideo Hashi"
77396,Ultraseven,10/1/1967,"In the not-too-distant future, the Earth finds itself constantly under attack from extraterrestrial threats. The Terrestrial Defense Force establishes the Ultra Garrison, a team of six elite members who utilize high-tech vehicles and weaponry. Joining their fight is the mysterious Dan Moroboshi, secretly an alien from the Land of Light in Nebula M-78, who transforms into his true form in times of crisis, Ultraseven.",5.3288,7.8,113,https://image.tmdb.org/t/p/w500/4HEtZZY4OISae6vpMCzREyzXFQi.jpg,https://image.tmdb.org/t/p/w780/7hhGeFLxJvRWWgYWEC5AO7MCefW.jpg,"Action & Adventure, Sci-Fi & Fantasy, Family",PG,"monster, secret identity, hero, villain, superhero, alien, giant monster, dinosaur, alien invasion, super power, kaiju, kyodai hero, ultraman, henshin heroes, dramatic, tokusatsu, depressing, bold","Shinichi Sekizawa, Norio Mine, Fuminori Ohashi"
5007,Giant Robo,10/11/1967,Join Daisaku Kusama and Giant Robo as they battle the interstellar terrorist group Big Fire.,1.4516,7.6,8,https://image.tmdb.org/t/p/w500/kLqjBFkHWYOQKL5fQs03pG1iGSt.jpg,https://image.tmdb.org/t/p/w780/4lQy8tji96HsXDuOxagpvaDL4Ua.jpg,"Action & Adventure, Kids, Sci-Fi & Fantasy",,"mecha, based on manga, tokusatsu","Mitsuteru Yokoyama, Hiroshi Yoshikawa, Seika Shiba"
81681,Agon: The Atomic Dragon,1/2/1968,"Agon: The Atomic Dragon is a miniseries produced by Nippon Television sometime in 1964, and later aired on Fuji TV from January 2 to January 5, 1968. Internationally, the series is known as Agon: Atomic Dragon. The series was re-released and re-edited as a condensed 96-minute feature-length film in the mid-1990s by Toho.",0.4861,0,0,https://image.tmdb.org/t/p/w500/d1muNCnWdRAyRbNmNzKpf0W9ZQF.jpg,,,,"miniseries, tokusatsu","Shinichi Sekizawa, Norio Mine, Fuminori Ohashi"
4580,Return of Ultraman,4/2/1971,"In a fight between two giant monsters named Takkong and Zazahn, young race car driver Hideki Go is killed while trying to rescue a little boy and a dog from the falling rubble. His valiant sacrifice is noted by everyone, even his friends and the new defense force MAT, but an unseen being also takes notice. Looking over Go is the ""New Ultraman"", who is so touched by Go's actions that he decides to combine his life force with that of Hideki, thus bringing him back to life. Hideki Go then joins the MAT and fights alongside them and Ultraman against monsters and alien invaders.",2.4718,8.7,15,https://image.tmdb.org/t/p/w500/sBSiT35A9W3Kv0RFxxVPbc7Z9fk.jpg,https://image.tmdb.org/t/p/w780/4IOFHWbNgKZcfUbh2Hs7DA4pyiv.jpg,"Action & Adventure, Sci-Fi & Fantasy, Drama",PG,"japan, monster, hero, villain, superhero, extraterrestrial, giant monster, dinosaur, kaiju, giant, supervillain, ultraman, henshin heroes, tokusatsu","Shoichi Takamoto, Ishiro Honda, Seika Shiba"
2661,Kamen Rider,4/3/1971,"Takeshi Hongo is a promising young man with a passion for motorcycle racing. However, his dreams are suddenly ruined when he gets kidnapped by Shocker, the evil secret organization planning to dominate the world. After being remodeled into a cyborg, Takeshi escapes and swears to protect the world from the inhuman monsters.",21.9047,6.4,89,https://image.tmdb.org/t/p/w500/2DIBDFHiKQawz4WPsYekl9DHwyA.jpg,https://image.tmdb.org/t/p/w780/usLRh1bcbL0Q9X8zf6rL4OV1qrA.jpg,"Action & Adventure, Sci-Fi & Fantasy, Drama",L,"artificial intelligence (a.i.), cyborg, martial arts, monster, hero, secret organization, villain, biker, superhero, tribe, conspiracy, swordsman, memory loss, impostor, based on manga, motorcycle, super power, masked superhero, supervillain, mysterious death, masked supervillain, death of hero, superhero teamup, mysterious disappearance, henshin heroes, friends to enemies, tokusatsu, evil dad","Shotaro Ishinomori, Shoji Otomo, Seika Shiba"
