ID,Name,First Air Date,Overview,Popularity,Vote Average,Vote Count,Poster_URL,Backdrop_URL
115337,Moonlight Mask,1958-02-24,"Moonlight Mask (aka Gekko Kamen), is a black and white tokusatsu TV drama series, produced by the advertising agency Senkosha and was aired on KRTV (now TBS) from February 24, 1958 to July 5, 1959, with a total of 130 (or 131) episodes, divided into 5 segments.  Since the original show, Gekko Kamen has gained the popularity of being the first Japanese live action television superhero, appearing in films and TV shows well past the length of the original series.",3.077,0.0,0,https://image.tmdb.org/t/p/w500/1plFS6wshk8MMh6ypci5SKccQlj.jpg,
203521,Tetsuwan Atom,1959-03-07,"Mighty Atom (鉄腕アトム Testuwan Atomu?) is a Japanese Tokusatsu TV show that was created by MBS Productions and had aired on MBS. It was the first adaptation of Mighty Atom (a.k.a. Astro Boy), which pre-dates the 1963 Mighty Atom anime television show.",1.1273,4.0,1,https://image.tmdb.org/t/p/w500/heSX9gxhlNa1svAcAMnuyl6R962.jpg,
4766,Ultra Q,1966-01-02,"As supernatural events and monster attacks rock Japan, the military and government look to be overwhelmed. Three intrepid young investigators—two pilots and a reporter—take it upon themselves to study these unexplained phenomena in order to inform and protect the public.  With allies and science aiding them on their journey, the trio must separate myth from history as they explore the greater mysteries of these occurrences: are they unrelated, or is this barrage somehow a portent of even worse things to come?",2.034,8.2,20,https://image.tmdb.org/t/p/w500/jcPwG0aneLwZ0dszjwIppSFCYL4.jpg,https://image.tmdb.org/t/p/w780/zzPy9SQyxlXugE1gQZ4ZrAFU8wk.jpg
3425,Ultraman,1966-07-17,"Hayata is a member of the Science Patrol, an organization tasked with investigating bizarre anomalies. He is mortally wounded when accidently encountering an alien being from Land of Light, who grants Hayata new life as the two are merged into one. Now, whenever a threat arises that is too great for the Science Patrol to handle, Hayata activates the beta capsule and becomes the hero known as Ultraman.",7.2453,8.4,52,https://image.tmdb.org/t/p/w500/7BanECmWCduOuJ5LzCjY93IdyPU.jpg,https://image.tmdb.org/t/p/w780/nQViCFfoObO5Xs8oHVjyfF4rHeL.jpg
13309,Space Tokusatsu Series: Captain Ultra,1967-04-16,"Loosely based on Captain Future, by Edmond Hamilton.",0.5138,6.0,1,https://image.tmdb.org/t/p/w500/aJVSBVAsWPOn84M2Ueux5X7eL7a.jpg,
77396,Ultraseven,1967-10-01,"In the not-too-distant future, the Earth finds itself constantly under attack from extraterrestrial threats. The Terrestrial Defense Force establishes the Ultra Garrison, a team of six elite members who utilize high-tech vehicles and weaponry. Joining their fight is the mysterious Dan Moroboshi, secretly an alien from the Land of Light in Nebula M-78, who transforms into his true form in times of crisis, Ultraseven.",5.3288,7.8,113,https://image.tmdb.org/t/p/w500/4HEtZZY4OISae6vpMCzREyzXFQi.jpg,https://image.tmdb.org/t/p/w780/7hhGeFLxJvRWWgYWEC5AO7MCefW.jpg
5007,Giant Robo,1967-10-11,Join Daisaku Kusama and Giant Robo as they battle the interstellar terrorist group Big Fire.,1.4516,7.6,8,https://image.tmdb.org/t/p/w500/kLqjBFkHWYOQKL5fQs03pG1iGSt.jpg,https://image.tmdb.org/t/p/w780/4lQy8tji96HsXDuOxagpvaDL4Ua.jpg
81681,Agon: The Atomic Dragon,1968-01-02,"Agon: The Atomic Dragon is a miniseries produced by Nippon Television sometime in 1964, and later aired on Fuji TV from January 2 to January 5, 1968. Internationally, the series is known as Agon: Atomic Dragon. The series was re-released and re-edited as a condensed 96-minute feature-length film in the mid-1990s by Toho.",0.4861,0.0,0,https://image.tmdb.org/t/p/w500/d1muNCnWdRAyRbNmNzKpf0W9ZQF.jpg,
128361,Ultra Fight,1970-09-28,"A television series from Tsuburaya Productions which ran from September 1970 to September 1971 on Tokyo Broadcasting System. The series consisting of battle stock footage from Ultraman and Ultraseven, accompanied by a boxing-style commentary. New footage was shot using existing costumes in outdoor locations without elaborate special effect. A total of 195 five-minute episodes were produced.",0.5033,0.0,0,,
4580,Return of Ultraman,1971-04-02,"In a fight between two giant monsters named Takkong and Zazahn, young race car driver Hideki Go is killed while trying to rescue a little boy and a dog from the falling rubble. His valiant sacrifice is noted by everyone, even his friends and the new defense force MAT, but an unseen being also takes notice. Looking over Go is the ""New Ultraman"", who is so touched by Go's actions that he decides to combine his life force with that of Hideki, thus bringing him back to life. Hideki Go then joins the MAT and fights alongside them and Ultraman against monsters and alien invaders.",2.4718,8.7,15,https://image.tmdb.org/t/p/w500/sBSiT35A9W3Kv0RFxxVPbc7Z9fk.jpg,https://image.tmdb.org/t/p/w780/4IOFHWbNgKZcfUbh2Hs7DA4pyiv.jpg
2661,Kamen Rider,1971-04-03,"Takeshi Hongo is a promising young man with a passion for motorcycle racing. However, his dreams are suddenly ruined when he gets kidnapped by Shocker, the evil secret organization planning to dominate the world. After being remodeled into a cyborg, Takeshi escapes and swears to protect the world from the inhuman monsters.",21.9047,6.4,89,https://image.tmdb.org/t/p/w500/2DIBDFHiKQawz4WPsYekl9DHwyA.jpg,https://image.tmdb.org/t/p/w780/usLRh1bcbL0Q9X8zf6rL4OV1qrA.jpg
250877,Suki! Suki!! Majo sensei,1971-10-03,"Hikaru Tsuki is a new 5th grade teacher at Tozai Elementary School. Secretly, she is also the alien princess of Planet Alpha and a peacekeeper for the Space Alliance assigned to Earth.",0.5835,0.0,0,https://image.tmdb.org/t/p/w500/loGf3zTv8wtVCRIlQ2v0V9zQO7E.jpg,
8857,Mirrorman,1971-12-05,"A young man, like his lost father, is destined to become a metallic reflection-powered superhero to fight monsters created by a sinister alien menace known simply as the ""Invaders"".",1.379,8.3,3,https://image.tmdb.org/t/p/w500/cjOjAOMQm48rZKOC0miyl1Vk7qh.jpg,https://image.tmdb.org/t/p/w780/zwlEjMlh4ejzFMwS3mhByGJFU7J.jpg
138100,Choujin Barom-1,1972-04-02,"Chojin Barom One (超人バロム・1 Baromu Wan), or Superhuman Barom 1 is a live-action adaptation of a Japanese manga series written by Takao Saito, produced two years after the comic was originally released. It stars Hiroyuki Takano as Gentaro Shiratori and Hiroki Izuka as Takeshi Kido, the two protagonists.",0.8908,10.0,2,https://image.tmdb.org/t/p/w500/slM46rSedmKQBiPhUEllXuGp3qx.jpg,https://image.tmdb.org/t/p/w780/5xfQ0tzwMOxWIBFNSEJh4IW0Zmz.jpg
